,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ZAMBIA,225715.92068865857,224451.93848492528,223216.72077043704,221953.12756336885,220717.8159975944,219509.86932863735,218328.41405612326,217173.26590737677,215932.40245259897,214717.9575428716,213529.11890756647,212365.11023888408,211225.8487426074,209971.43456794514,208784.67061084244,207626.24573743207,206492.73462099282,205379.92944174408,204166.93802563628,202981.7728655707,201827.8305557837,200697.06660498833,199587.13825947262,198381.10376391505,197210.42269076372,196105.5545435592,195019.64014782294,193963.14256809274,192796.838954408,191652.37504876213,190527.10998663722,189420.549280125,188332.23852307381,187109.98659485168,185909.54083512878,184735.11887895036,183581.0636005114,182445.1225010216
ZIMBABWE,354100.32356277213,356609.391853347,359118.8751221465,361537.1403130913,363957.02377867093,366378.7773861255,368802.6481806535,371230.0884446845,373457.2677001247,375687.2391399901,377920.21976515395,380156.42230857495,382396.57391363126,384370.9037719539,386431.88875589636,388505.97187229665,390588.0253167384,392671.5713519313,394519.8483163206,396383.6319657048,398265.82612334844,400154.6159491229,402047.57135197567,403700.5430199247,405380.5323176114,407141.88845238124,408905.49626339873,410695.1028930544,412211.4451671214,413733.52142232086,415258.0021955914,416784.98920981324,418314.6166439053,419498.4419588048,420689.3394295904,421898.3242470434,423113.2634843019,424330.354652769
ANGOLA,1817235.6976554082,1827812.5484933057,1838354.3300664222,1848396.8839185983,1858410.8201950295,1868397.0692109666,1878356.533830812,1888296.139475522,1897188.0748038017,1906058.2299373262,1914907.352285719,1923736.1653475955,1932547.856238651,1939984.8745313783,1947826.1572782167,1955699.0481041728,1963577.3570863307,1971426.7131105692,1978053.4032973263,1984721.1177928047,1991448.1836598034,1998173.8807118062,2004885.273988608,2010362.5720943534,2015955.1393549433,2021963.7679395594,2027949.2658377085,2034024.2462995632,2038706.4902939433,2043386.173694881,2048045.9090811852,2052685.9650208068,2057306.7679323684,2060198.0976585047,2063096.5177863922,2066054.3475368924,2069012.9155283358,2071953.3911351822
CAMEROON,23229.003032039145,23060.240962476,22893.7193168022,22723.85940435818,22556.313387393777,22391.02269505477,22227.930961163554,22067.04958541384,21897.103555003774,21729.495744500364,21564.16773623469,21401.063230303524,21240.186261922405,21067.53769514042,20901.351229524265,20737.856272971596,20576.73295573568,20417.590775742898,20248.58100222264,20082.368916584357,19919.216507614365,19758.3714507515,19599.624860054428,19431.587518885648,19266.980209569687,19108.404726779587,18951.80138282669,18798.186799679814,18634.153652176043,18472.45111592224,18312.82275477943,18155.222649214455,17999.608288888965,17831.46839751203,17665.777630736746,17502.885146731925,17342.266012337146,17183.70612939178
CENTRALAFRICANREPUBLIC,21375.556742326833,21467.459378683005,21557.72308862422,21641.145921001807,21722.991987484656,21803.27517885356,21882.009124374024,21959.26895338968,22024.142207850728,22087.556603081663,22149.524265980377,22210.057082606214,22269.243424460215,22312.712078691886,22359.142756443438,22404.701718614207,22449.131253110896,22492.04994736488,22520.312096844278,22547.74730926027,22574.9579000719,22601.09488083087,22625.95698324988,22636.43697204864,22647.455392701566,22663.046368812975,22677.36081754882,22691.615275571676,22689.612311326964,22686.75146144301,22682.760703053063,22677.64757464147,22671.422360914377,22645.902265143624,22619.658406391998,22593.200491126692,22565.979683538422,22537.78253535732
CHAD,713822.0003409344,718911.0180547402,723995.8564466242,728898.6404635612,733799.8562054991,738699.8783172595,743599.072145755,748500.1514009093,752999.2642891243,757498.9324291679,761999.4618930921,766501.1505684257,771005.2086858898,774973.3564329868,779105.8340593856,783259.2109541174,787423.4327214641,791585.098158993,795268.4172521554,798976.3209218478,802715.3778360476,806461.7498253819,810210.4653967479,813471.0833753552,816782.1395184121,820258.6125017048,823733.2217928641,827251.1423845391,830211.4644370469,833177.6776248628,836142.1842595993,839105.0787309137,842066.5176920448,844327.8603414258,846598.12280638,848897.3684430607,851202.0459929884,853504.426701806
CONGO,40901.79250898848,41133.07681072988,41356.349957536746,41561.402167509455,41758.415100548395,41947.49159261258,42128.73435656911,42302.33619764154,42452.585598223384,42595.207624411225,42730.30390003856,42857.975745626594,42978.91291774412,43073.7890086184,43165.480038976384,43250.08710861239,43327.4527796025,43397.42174646566,43440.06379168178,43476.27551984088,43509.101430231334,43536.02537309339,43556.39869943428,43551.20717257988,43541.30617080116,43529.885727865316,43512.5977526949,43493.16280103398,43443.39923790349,43389.486682270224,43330.54611103382,43266.65933447169,43197.922438999,43094.423410542615,42986.84016191193,42876.37579588166,42762.22823713502,42643.94109647758
GABON,43511.602355742354,43515.86122386033,43510.023022940564,43483.58101174419,43447.46438887126,43401.969771374526,43347.38764559548,43284.090886952166,43197.423525300524,43102.52194173362,42999.65305475422,42889.078125069595,42771.74768748114,42630.612970419985,42485.275206897706,42332.99940025503,42173.8433939385,42007.96466988169,41817.824841731344,41622.3147937245,41424.75757687766,41222.63479041601,41015.37023849597,40786.81004054636,40554.41185841721,40319.22195939154,40080.15794689591,39841.13988424124,39577.19307530002,39311.5005096505,39043.26209991671,38772.61810367289,38499.72077485322,38199.025246041136,37897.11164990204,37595.062401150026,37292.29599946642,36988.43303848867
SAOTOMEANDPRINCIPE,17.917344008171053,18.123186040346926,18.323710369484704,18.510989088474663,18.692703512042943,18.86878063809166,19.039147165161413,19.203772019915206,19.35120978900612,19.49265399830945,19.628039397205868,19.75730032346141,19.880408168057137,19.982597469601995,20.08659517313735,20.185202719830095,20.277858282744226,20.36378622684789,20.428355732104272,20.486476497646752,20.5385820972213,20.58396694014796,20.622411664209608,20.640117935914358,20.65413577390936,20.672193354429396,20.683054485912105,20.68730239635571,20.669457546629417,20.64482028850582,20.61282726243054,20.573426902335704,20.526569877173134,20.456420021139557,20.379028163548966,20.29607075677103,20.205784314898132,20.10789094627861
ALGERIA,1170400.9248967536,1177490.7922914978,1184550.813349001,1191287.5326017295,1198000.1923835583,1204689.5239674584,1211356.2373979562,1218004.9740927976,1223970.8590010104,1229918.413213798,1235848.2306082507,1241760.8864961013,1247658.3320986256,1252664.604080325,1257916.7911502323,1263184.578123767,1268451.6999466808,1273698.0639306689,1278165.537201052,1282661.123713886,1287189.132305265,1291713.3759275763,1296226.7506588225,1299948.4299898206,1303722.7856968758,1307696.8428260535,1311654.3797910714,1315671.6662593696,1318795.3655813783,1321916.3691794693,1325023.3169211142,1328116.424805885,1331196.0013020206,1335276.231146176,1341064.9257557746,1346926.418315044,1352821.9880837,1358739.6143021116
